id,vendor,kind,effective_at,effective_at_precision,observed_at,scope_windows,scope_plans,scope_partial,scope_notes,trigger,confidence,evidence_count,evidence_types,evidence_urls,evidence_authors,evidence_captured_at,evidence_archive_urls,recorded_by,superseded_by,notes,status,links
cc-2026-03-13-01,claude-code,limit_increase,2026-03-13T00:00:00Z,day,2026-07-25T18:45:00Z,5h,Free | Pro | Max | Team,false,"Temporary promotion doubling 5-HOUR limits during off-peak hours (peak = 8am-2pm ET weekdays) and all day at weekends. Enterprise excluded. Bonus consumption did NOT count against weekly caps. END DATE IS DISPUTED between my two sources: XDA says 'through March 27, 2026', explainx says the promotion 'concluded March 28, 2026' — I did not resolve this and have not asserted an end date. Announced via Claude's X account per XDA; I did not fetch X per project prohibition.",courtesy,probable,2,press | press,https://www.xda-developers.com/claude-doubled-every-users-usage-limits-for-two-weeks/ | https://explainx.ai/blog/claude-usage-limits-2026-timeline-explained,"XDA Developers (published Mar 15, 2026) | explainX",2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z, | ,claude-code-agent,,"1 evidence url(s) dropped as not supporting the claim. Seeded in Phase 1 from the completeness sweep; NOT yet reviewed by the operator. Verifier: Could not refute. Both cited URLs load and genuinely support the claim. The XDA quote is present VERBATIM, not paraphrased, and XDA is contemporaneous (Mar 15 2026, two days after the start date). The explainX quote is an exact substring. The event is a genuinely discretionary, temporary promotional limit increase by Anthropic - not a routine scheduled rollover, not a pricing/plan change, not another vendor, and it…",sealed,
cx-2026-04-01-01,codex,global_reset,2026-04-01T00:00:00Z,day,2026-07-25T18:45:00Z,weekly,all paid,false,"Discretionary reset across ALL plans, explicitly precautionary rather than compensatory — Tibo says OpenAI did not understand why rate-limit hits had spiked. Statement originated on X and was relayed into the OpenAI Developer Community thread; the FORUM POST is my evidence, the X post was not fetched. ⚠️ The same thread's title also references a March 27 reset, which I could NOT source — see notes, treat as an open gap, not a confirmed event.",capacity,reported,1,user_report,https://community.openai.com/t/codex-limits-finally-good-after-april-1st-reset/1378333,"Tibo (OpenAI), relayed by forum user VeitB, April 1, 2026",2026-07-25T18:45:00Z,,claude-code-agent,,"Confidence probable -> reported by adversarial verification. Seeded in Phase 1 from the completeness sweep; NOT yet reviewed by the operator. Verifier: Attacked on all five axes and it held on four, failing only on confidence grade. QUOTE (survives): The exact string ""resetting the usage limits for all plans"" is present verbatim, not paraphrased. Verified three independent ways to rule out a summarizer hallucinating it into existence: the rendered page, the raw Discourse `.json` payload, and the post-2 permalink. All three return the same title, timestamps and user…",sealed,
cx-2026-04-08-01,codex,global_reset,2026-04-08T00:00:00Z,day,2026-07-25T18:45:00Z,,,false,"QUOTA WINDOW: scope_windows is deliberately EMPTY. Every single source I fetched was asked directly which window was reset, and every one declined to say. BusinessToday, Technobezz, Daily AI Primer and the Codex Knowledge Base say only ""usage limits"" generically. Let's Data Science comes closest — the reset clears ""the share of a quota a developer has already used in the current window"" — but explicitly does not name the window. codex-resets.com's entry for this milestone likewise does not specify weekly vs 5h. NOTE THE TRAP: ""3 million WEEKLY users"" is a user-count metric, not a quota window; Technobezz's summary conflates the two, and inferring ""weekly quota"" from ""weekly users"" would be…",milestone,reported,6,press | user_report | press | press | press | press,https://www.businesstoday.in/technology/story/openai-codex-celebrates-3-million-weekly-users-ceo-sam-altman-resets-usage-limits-524717-2026-04-08 | https://community.openai.com/t/codex-rate-limits-discussion-thread/1378553/177 | https://www.technobezz.com/news/openai-resets-codex-usage-limits-after-reaching-3-million-weekly-users | https://letsdatascience.com/news/sam-altman-resets-openai-codex-limits-74ec5754 | https://www.ai-primer.com/engineer/stories/openai-codex-3m-users-limit-reset | https://codex.danielvaughan.com/2026/04/09/codex-3-million-users-growth-usage-limits/,Business Today | OpenAI Developer Community (windysoliloquy) | Technobezz | Let's Data Science | Daily AI Primer | Codex Knowledge Base (Daniel Vaughan),2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z, |  |  |  |  | ,claude-code-agent,,"Part of OpenAI's publicly stated commitment, made at the 3M-user milestone, to reset Codex usage limits at every additional million weekly active users up to 10M. Seeded in Phase 1; NOT yet reviewed by the operator. Verifier: SURVIVES, but with the date corrected 04-07 → 04-08 and confidence capped at ""reported"". WHAT HELD UP: 1. Both claim URLs load (HTTP 200). The quote is genuinely on the BusinessToday page — not paraphrased into existence — including the ""Happy building!"" sign-off, which a first pass missed and a targeted re-fetch confirmed. 2. The event is corroborated by five independent outlets I fetched (BusinessToday, Technobezz, Let's Data Science, Daily AI Primer, Codex Knowledge Base), so this clears the ""second source"" bar. 3. ANNOUNCE vs EFFECT survives scrutiny. The post is present-progressive — ""we…",sealed,
cc-2026-04-23-01,claude-code,global_reset,2026-04-23T00:00:00Z,day,2026-07-25T18:45:00Z,,all subscribers (tiers not itemised in the vendor post),false,"Anthropic's own engineering postmortem states only 'Today we are resetting usage limits for all subscribers.' It does NOT name the 5-hour window, the weekly window, or specific plan tiers, so scope_windows is deliberately left empty rather than guessed. The reset is explicitly framed as compensation for token waste caused by three overlapping Claude Code defects running 2026-03-04 to 2026-04-20 (reasoning effort silently dropped high->medium on Mar 4; a Mar 26 thinking-block cache-clearing bug that fired every turn instead of once; an Opus 4.7 system-prompt verbosity cap). All three were resolved as of v2.1.116 on Apr 20. The postmortem covers Claude Code, the Claude Agent SDK and Claude Co…",incident_compensation,confirmed,2,vendor_post | press,https://www.anthropic.com/engineering/april-23-postmortem | https://fortune.com/2026/04/24/anthropic-engineering-missteps-claude-code-performance-decline-user-backlash/,Anthropic (Engineering) | Fortune,2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z, | ,claude-code-agent,,"Seeded in Phase 1 by agent research; NOT yet reviewed by the operator. Verifier: SURVIVES INTACT — I could not break this one. I attacked the quote first, because the initial fetch could have been primed by my own prompt, so I re-fetched with a neutral extraction ('quote verbatim every sentence containing reset or limits, do not paraphrase'). The page returned the claimed sentence character-for-character as its closing line: 'Today we are resetting usage limits for all subscr…",sealed,
cx-2026-04-28-01,codex,global_reset,2026-04-28T00:00:00Z,day,2026-07-25T18:45:00Z,5h,Plus | Pro | Business | Enterprise,false,"The announcement wording was broad — ""Codex rate limits for ALL paid plans"" — but the only window with positive evidence of actually being reset is the 5-hour rolling window. openai/codex GitHub issue #20395 was filed precisely because the public wording did not match observed behaviour: a Plus subscriber found their WEEKLY limit was NOT reset, and the issue reports OpenAI Support later clarified the reset did not apply universally across all quota types or account states (eligibility varied by quota interval, usage timing and account state). I therefore list scope_windows as [""5h""] rather than [""weekly"",""5h""]; treat weekly as disputed/not-universal, not as confirmed-included. Plans: the an…",courtesy,probable,4,vendor_post | user_report | press | press,https://community.openai.com/t/codex-rate-limits-reset-for-all-paid-plans-april-28-2026/1379921 | https://github.com/openai/codex/issues/20395 | https://www.aitopic.com/OpenAI-Codex-Resets-Rate-Limits-for-All-Paid-Users-to-Encourage-GPT-55-Adoption.html | https://knightli.com/en/2026/05/17/codex-usage-limit-reset-history/,"Thread ""Codex Rate limits reset for all paid plans April 28, 2026"" on OpenAI Developer Community, opened by VeitB (staff), reproducing the announcement by Tibo Sottiaux (Codex eng… | Issue #20395 ""Clarify Codex rate-limit reset behavior and make reset scope visible in Usage UI"", openai/codex repository — filed by a Plus subscriber whose weekly limit was not re… | AI Topic, article dated 2026-04-28, attributing the reset to Codex engineering head Thibault Sottiaux and referencing the 2026-04-23 GPT-5.5 integration | knightli.com, ""Codex Usage Limit Reset: How to Check Quotas and Reset Times"" (reset-history round-up, 2026-05-17)",2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z, |  |  | ,claude-code-agent,,"Confidence downgraded confirmed -> probable by adversarial verification. Seeded in Phase 1 by agent research; NOT yet reviewed by the operator. Verifier: SURVIVES on the facts, but the confidence grade is NOT earned — downgrade confirmed -> probable. Refutation attempts that FAILED (i.e. the claim held): (1) No dead links — all four evidence URLs returned 200. (2) No fabricated quotes — every claimed quote appears verbatim or in substance on its page, including the exact announcement string 'I have reset Codex rate limits for ALL paid plans to cel…",sealed,
cc-2026-05-06-01,claude-code,limit_increase,2026-05-06T00:00:00Z,day,2026-07-25T18:45:00Z,5h,Pro | Max | Team | seat-based Enterprise,false,"Two distinct actions in one vendor post: (a) 5-hour Claude Code rate limits doubled for Pro/Max/Team/seat-based Enterprise; (b) peak-hour limit REDUCTION removed for Pro and Max only (that half is kind=limit_removal). Weekly limits were NOT changed by this post. Post says the changes are 'all effective today' and does not use the word 'permanent' — secondary coverage calls it permanent, the vendor post does not. Framed as enabled by a SpaceX Colossus 1 compute deal.",capacity,confirmed,2,vendor_post | vendor_post,https://www.anthropic.com/news/higher-limits-spacex | https://www.anthropic.com/news/higher-limits-spacex,Anthropic | Anthropic,2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z, | ,claude-code-agent,,"Seeded in Phase 1 from the completeness sweep; NOT yet reviewed by the operator. Verifier: Attempted refutation on six fronts; all failed. The claim survives intact. (1) URL LIVE + FIRST-PARTY. https://www.anthropic.com/news/higher-limits-spacex loads 200, titled ""Higher usage limits for Claude and a compute deal with SpaceX"", bylined May 6, 2026. Independently corroborated as the canonical URL/title by search (The New Stack, Yahoo Finance, ITPro, Slashdot, AIN all covered it 05-07/05-09), so this is not…",sealed,
cc-2026-05-13-01,claude-code,limit_increase,2026-05-13T00:00:00Z,day,2026-07-25T18:45:00Z,weekly,Pro | Max | Team | legacy seat-based Enterprise,false,"START of the +50% Claude Code WEEKLY limit promotion, originally scheduled to end July 13, 2026 at 6PM PDT. Applies to Claude Code only (CLI, IDE extensions, desktop, web); auto-applied, no action required; Free and consumption-based Enterprise seats excluded. ⚠️ DATE IS SOFT: the article I fetched says only 'effective immediately' and was published 14 May 2026; search snippets I did NOT fetch claim a May 13 start. I have anchored to the fetched publication date and set precision=day. ⚠️ DEDUPE RISK: the operator already has a claude-code 2026-05-15 lead — that appears to be a separate ClaudeDevs 5-hour+weekly counter FLUSH, not this promo, but the two are 1-2 days apart and should be check…",courtesy,reported,1,press,https://apidog.com/blog/claude-code-weekly-limits-50-percent-increase-july-2026/,Apidog (published 14 May 2026),2026-07-25T18:45:00Z,,claude-code-agent,,"Date corrected by adversarial verification: 2026-05-14 -> 2026-05-13. Confidence probable -> reported by adversarial verification. Seeded in Phase 1 from the completeness sweep; NOT yet reviewed by the operator. Verifier: SURVIVES with three corrections. Attacks that FAILED: (1) URL is live (curl 200, no redirect). (2) The quote is real and near-verbatim, not paraphrased into existence — the page reads ""Anthropic raised Claude Code weekly usage limits by 50%, effective immediately and running through July 13 at 6PM PDT (1AM GMT, July 14)"". (3) It is genuinely a discretionary vendor action: a temporary +50% raise of the Claude Code we…",sealed,
cc-2026-05-15-01,claude-code,global_reset,2026-05-15T00:00:00Z,day,2026-07-25T18:45:00Z,5h | weekly,Pro | Max | Team | Enterprise (seat-based),false,"Described as a one-off, server-side flush of BOTH consumption counters to zero, applied without user action and with no expiry — i.e. a counter reset, not a ceiling change. Reported as a courtesy 'release valve' two days after the May 13 temporary +50% weekly increase, so users could actually feel the new ceiling rather than remain capped by consumption already banked earlier that week. One source reports the announcement at 2:47 p.m. Italian time (approx. 12:47 UTC) on Friday May 15, but I set precision to 'day' rather than 'hour' because that timestamp comes from a single low-authority aggregator and I could not anchor it against any second source or vendor record.",courtesy,probable,2,press | press,https://pasqualepillitteri.it/en/news/2614/claude-resets-rate-limits-5-hour-weekly-may-15-2026 | https://www.verdent.ai/guides/claude-code-limits-doubled-may-2026,"Pasquale Pillitteri (news aggregator), quoting the @ClaudeDevs account | Verdent Guides (published 2026-05-21)",2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z, | ,claude-code-agent,,"Seeded in Phase 1 by agent research; NOT yet reviewed by the operator. Verifier: SURVIVES, but it is the weakest-sourced of the three and the lead's own hedging is what saves it. Both cited urls load and both genuinely contain their quotes: pasqualepillitteri carries 'Happy Friday! We've reset everyone's 5-hour and weekly rate limits.' (the claimed quote is an exact substring, not a paraphrase) and verdent carries 'Two days after the weekly bump, on May 15, Anthropic flushed…",sealed,
cx-2026-05-16-01,codex,global_reset,2026-05-16T00:00:00Z,day,2026-07-25T18:45:00Z,,,false,"DATE IS ±1 DAY AND I COULD NOT NARROW IT FURTHER. The announcement is a post by the Codex team lead (Tibo Sottiaux / @thsottiaux) on X, which I did not and may not fetch per project prohibition. My evidence is the relay of it on OpenAI's own developer forum, whose Discourse JSON gives created_at 2026-05-16T10:25:49.819Z; the third-party explainer (knightli.com, published 2026-05-17) dates the same announcement 2026-05-15. Because the wording was 'I will reset usage limits this evening', the reset itself landed some hours AFTER the announcement, i.e. plausibly the evening of 2026-05-16 US Pacific = early 2026-05-17 UTC. So the lead date '2026-05-15' is approximately but probably not exactly…",incident_compensation,probable,4,user_report | status_page | press | user_report,https://community.openai.com/t/codex-rate-limits-reset-incoming/1381065 | https://status.openai.com/history | https://knightli.com/en/2026/05/17/codex-usage-limit-reset-history/ | https://community.openai.com/t/codex-users-report-rapid-quota-drains-since-may-10/1380649,"VeitB (community moderator), relaying Tibo Sottiaux / @thsottiaux, Codex team lead; OpenAI_Support (admin) replies in-thread | OpenAI status page | knightli.com (third-party explainer, published 2026-05-17) | multiple forum users (AdityaT, KevinR, LarisaHaster et al.)",2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z | 2026-07-25T18:45:00Z, |  |  | ,claude-code-agent,,"Operator's original lead was dated codex 2026-05-15; evidence places it on 2026-05-16. Seeded in Phase 1 by agent research; NOT yet reviewed by the operator. Verifier: SURVIVES, with precision downgraded day -> unknown. Every URL loaded and every quote is genuinely on the page - nothing fabricated or paraphrased into existence. Forum 1381065 carries the exact string 'I will reset usage limits this evening' inside a relayed screenshot of @thsottiaux, with Discourse JSON confirming post1 VeitB 2026-05-16T10:25:49Z and post2 OpenAI_Support ('Avinash') 2026-05-16T1…",sealed,
cx-2026-05-23-01,codex,global_reset,2026-05-23T00:00:00Z,day,2026-07-25T18:45:00Z,weekly,all,false,"Compensatory reset after OpenAI rolled back an optimization that hurt cache hit rates when compacting long-running sessions, which made limits drain faster. Posted by Tibo (Codex team lead) at 8:14 PM in a thread opened May 16. Falls between the operator's codex 05-15 and 06-04 leads.",incident_compensation,reported,1,user_report,https://community.openai.com/t/codex-rate-limits-reset-incoming/1381065,"Tibo (OpenAI Codex), May 23, 2026",2026-07-25T18:45:00Z,,claude-code-agent,,"Confidence probable -> reported by adversarial verification. Seeded in Phase 1 from the completeness sweep; NOT yet reviewed by the operator. Verifier: SURVIVES on substance, DOWNGRADED on confidence. Quote verified verbatim in raw Discourse JSON, post_number 5, created_at 2026-05-23T20:18:54Z: ""Some of you noticed limits drained faster in Codex, we root caused it to an optimization that we rolled back that had an impact on cache hit rates when compacting across long running sessions. We fixed this and have now reset usage limits for all accounts. Enjoy the weekend…",sealed,
